field,entity_level,type,unit,requiredness,nullable,allowed_vocabulary,definition,example,provenance_authority,schema_version
affected_system_ids,record-type coverage summary,semicolon_delimited_string,unitless_or_not_applicable,conditional,True,,Semicolon-delimited systems not counted as available.,,current server filesystem and JSON-content audit,1.0
allowed_vocabulary,dictionary field,string,unitless_or_not_applicable,required,False,,Pipe-delimited controlled values when a closed vocabulary applies.,dictionary metadata,generated package schema audit,1.0
availability_semantics,record-type coverage summary,string,unitless_or_not_applicable,required,False,,Explicit rule used to count a current server record as available.,Available means a non-empty current portal structure file is present.,current server filesystem and JSON-content audit,1.0
baseline_n_hold,system readiness/QC summary,integer,unitless_or_not_applicable,required,False,,Number of replicas classified HOLD in baseline evidence.,0,readiness/QC evidence overlay,1.0
baseline_n_ready,system readiness/QC summary,integer,unitless_or_not_applicable,required,False,,Number of replicas classified READY in baseline evidence.,3,readiness/QC evidence overlay,1.0
baseline_n_review,system readiness/QC summary,integer,unitless_or_not_applicable,required,False,,Number of replicas classified REVIEW in baseline evidence.,0,readiness/QC evidence overlay,1.0
baseline_notes,system readiness/QC summary,string,unitless_or_not_applicable,conditional,True,,Note attached to baseline readiness evidence.,REVIEW_DISSOCIATION,readiness/QC evidence overlay,1.0
baseline_replica_statuses,release-boundary system / system readiness/QC summary,string,unitless_or_not_applicable,conditional,True,,Concatenated human-readable baseline status summary for the three replicas.,rep1=HOLD | rep2=HOLD | rep3=HOLD,readiness overlay and release decision; readiness/QC evidence overlay,1.0
baseline_status,system readiness/QC summary,string,unitless_or_not_applicable,required,False,,System-level baseline readiness status.,READY,readiness/QC evidence overlay,1.0
ci_hi,system/interface/metric gateway record,number,metric-dependent,required,False,,Upper bound of the stored gateway interval.,6.12,per-system gateways.json,1.0
ci_lo,system/interface/metric gateway record,number,metric-dependent,required,False,,Lower bound of the stored gateway interval.,5.725,per-system gateways.json,1.0
definition,dictionary field,string,unitless_or_not_applicable,required,False,,Reader-facing semantic definition of the serialized field.,dictionary metadata,generated package schema audit,1.0
duration_ns,system/replica selection record,integer,ns,required,False,,Selected production duration represented by the replica row.,500,included-cohort replica-selection rule,1.0
entity_level,dictionary field,string,unitless_or_not_applicable,required,False,,Entity or record level at which the field is interpreted.,dictionary metadata,generated package schema audit,1.0
evidence_group,release-boundary system / system readiness/QC summary,string,unitless_or_not_applicable,conditional,True,,Readiness-evidence grouping used to support the record.,strict_baseline,readiness overlay and release decision; readiness/QC evidence overlay,1.0
evidence_note,system readiness/QC summary,string,unitless_or_not_applicable,conditional,True,,Additional note attached to the selected evidence source.,rep1=GOOD | rep2=GOOD | rep3=GOOD,readiness/QC evidence overlay,1.0
evidence_source,release-boundary system / system readiness/QC summary,string,unitless_or_not_applicable,required,False,,Repository-relative pointer to the supporting readiness evidence.,trajectory_readiness/strict_full_length_system_audit.csv,readiness overlay and release decision; readiness/QC evidence overlay,1.0
example,dictionary field,string,unitless_or_not_applicable,required,False,,Example non-null serialized value from the generated package.,dictionary metadata,generated package schema audit,1.0
exists,code or build-environment inventory item,boolean,unitless_or_not_applicable,required,False,,Whether the file exists or the current build dependency is importable.,True,repository files and current package-build runtime,1.0
expected_systems,record-type coverage summary,integer,unitless_or_not_applicable,required,False,,Number of included systems to which the portal/API record type applies.,207,current server filesystem and JSON-content audit,1.0
field,dictionary field,string,unitless_or_not_applicable,required,False,,Exact serialized CSV field name described by this dictionary row.,field,generated package schema audit,1.0
files_present,record-type coverage summary,integer,unitless_or_not_applicable,required,False,,Number of non-empty current server files present for the record type.,207,current server filesystem and JSON-content audit,1.0
force_field,system,string,unitless_or_not_applicable,required,False,,Force-field/protocol label recorded in included-system metadata; not an exact engine-version claim.,CHARMM36 (via AMBER CHARMM-GUI),"included cohort, systems_master.csv and per-system index.json",1.0
g_alpha_subtype,system / release-boundary system,string,unitless_or_not_applicable,conditional,True,,Source metadata label for the G-alpha subtype or construct.,guanine nucleotide-binding protein g(i)/g(s)/g(t),"included cohort, systems_master.csv and per-system index.json; readiness overlay and release decision",1.0
g_protein_family,system / release-boundary system / pocket or explicit zero-pocket system record / system/interface/metric gateway record / system readiness/QC summary,string,unitless_or_not_applicable,conditional,True,Gi|Gs|Gq|G12-13,Release G-protein family.,G12-13,"included cohort, systems_master.csv and per-system index.json; readiness overlay and release decision; per-system pockets_gpcrdb.json; per-system gateways.json; readiness/QC evidence overlay",1.0
gpcr_class,system / release-boundary system,string,unitless_or_not_applicable,conditional,True,A|B,Release GPCR class.,B,"included cohort, systems_master.csv and per-system index.json; readiness overlay and release decision",1.0
has_bilayer,system,boolean,unitless_or_not_applicable,required,False,,Whether the source system metadata records a membrane bilayer.,True,"included cohort, systems_master.csv and per-system index.json",1.0
hold_reason,release-boundary system,string,unitless_or_not_applicable,required,False,,Recorded reason the system is unresolved or excluded.,HOLD_PBC,readiness overlay and release decision,1.0
included_in_release,system readiness/QC summary,boolean,unitless_or_not_applicable,required,False,True,Whether the row belongs to the authoritative included cohort.,True,readiness/QC evidence overlay,1.0
interface,system/interface/metric gateway record,string,unitless_or_not_applicable,required,False,TM1-TM2|TM2-TM3|TM3-TM4|TM4-TM5|TM5-TM6|TM6-TM7|TM7-TM1,Adjacent TM-helix pair defining a gateway.,TM1-TM2,per-system gateways.json,1.0
is_orthosteric,pocket or explicit zero-pocket system record,boolean,unitless_or_not_applicable,conditional,True,,Whether the pocket cluster was annotated as orthosteric by the deposited computational workflow.,False,per-system pockets_gpcrdb.json,1.0
item_id,code or build-environment inventory item,string,unitless_or_not_applicable,required,False,,Stable row identifier within the code/build-environment inventory.,code_01,repository files and current package-build runtime,1.0
item_kind,code or build-environment inventory item,string,unitless_or_not_applicable,required,False,code_file|environment_file|build_dependency,"Distinguishes code files, environment files and current build dependencies.",code_file,repository files and current package-build runtime,1.0
language,code or build-environment inventory item,string,unitless_or_not_applicable,required,False,,"Implementation language, file format or dependency name.",Python,repository files and current package-build runtime,1.0
language_version,code or build-environment inventory item,string,unitless_or_not_applicable,conditional,True,,Available language/runtime version for the current build environment.,3.12.3,repository files and current package-build runtime,1.0
length_per_replica_ns,system / release-boundary system / system source-inventory record,integer,ns,conditional,True,,Selected production duration per replica.,500.0,"included cohort, systems_master.csv and per-system index.json; readiness overlay and release decision; systems_master.csv paths and source filesystem audit",1.0
ligand_chem_id,system,string,unitless_or_not_applicable,conditional,True,,Ligand chemical-component identifier from authoritative system metadata; empty when unavailable.,S1P,"included cohort, systems_master.csv and per-system index.json",1.0
ligand_class,system,string,unitless_or_not_applicable,conditional,True,,Ligand-class annotation; currently empty because no authoritative source value is available.,,"included cohort, systems_master.csv and per-system index.json",1.0
ligand_name,system,string,unitless_or_not_applicable,conditional,True,,Ligand name present in systems_master or the per-system API index; empty when unavailable.,"(2S,3R,4E)-2-amino-3-hydroxyoctadec-4-en-1-yl dihydrogen phosphate","included cohort, systems_master.csv and per-system index.json",1.0
lipid_composition,system,string,unitless_or_not_applicable,required,False,,Membrane lipid-composition label in included-system metadata.,POPC,"included cohort, systems_master.csv and per-system index.json",1.0
location,pocket or explicit zero-pocket system record,string,unitless_or_not_applicable,conditional,True,,Component/location label stored in the pocket API record.,g_protein,per-system pockets_gpcrdb.json,1.0
mean,system/interface/metric gateway record,number,metric-dependent,required,False,,Mean of the three replica-level gateway summaries.,5.968,per-system gateways.json,1.0
mean_freq,pocket or explicit zero-pocket system record,number,fraction,conditional,True,,Mean occupied-frame fraction across voxels in the pocket cluster.,0.929,per-system pockets_gpcrdb.json,1.0
metric,system/interface/metric gateway record,string,unitless_or_not_applicable,required,False,penetration|penetration_p90|open_fraction|occupancy,Gateway metric represented by the row.,occupancy,per-system gateways.json,1.0
n_replicas,system / release-boundary system / system/interface/metric gateway record / system readiness/QC summary,integer,unitless_or_not_applicable,conditional,True,,Number of selected production replicas represented by the record.,3,"included cohort, systems_master.csv and per-system index.json; readiness overlay and release decision; per-system gateways.json; readiness/QC evidence overlay",1.0
n_voxels,pocket or explicit zero-pocket system record,integer,unitless_or_not_applicable,conditional,True,,Number of grid voxels in the detected pocket cluster.,633,per-system pockets_gpcrdb.json,1.0
notes,system / release-boundary system,string,unitless_or_not_applicable,conditional,True,,Curated release or source-metadata note.,nan; API receptor_name='Sphingosine 1-phosphate receptor 2' differs from existing,"included cohort, systems_master.csv and per-system index.json; readiness overlay and release decision",1.0
nullable,dictionary field,string,unitless_or_not_applicable,required,False,,Whether an empty CSV value is permitted.,dictionary metadata,generated package schema audit,1.0
pdb_id,system / release-boundary system,string,unitless_or_not_applicable,required,False,,Source-structure identifier recorded for the release system.,7SF7,"included cohort, systems_master.csv and per-system index.json; readiness overlay and release decision",1.0
