item,purpose,current_asset,status,action
Main Fig 1,Dataset composition and construction workflow,scidata_figures/scidata_figure1_overview_circos.{pdf,png}; generate_scidata_main_figures.py,matplotlib draft ready,Polish circos ribbon labels; old SVG draft deprecated
Main Fig 2,"Data records, repository hierarchy, web portal/API access",scidata_figures/scidata_figure2_data_records.{pdf,png}; generate_scidata_main_figures.py,matplotlib draft ready,Drop portal screenshot into scidata_figures/portal_screenshots/; finalize DOI/accession wording
Main Fig 3,Technical validation by binding-site/pocket recovery,scidata_figures/scidata_figure3_validation_ridgeline.{pdf,png}; tables/scidata_T4_technical_validation_clean_v1.csv,draft ready,Optional replica-level agreement overlay; keep language as technical validation
Main Fig 4,Global QC and completeness summary,scidata_figures/scidata_figure4_qc.{pdf,png}; tables/scidata_T8/T8a/T8b,draft ready with gateway heatmap + PBC/frame/QC panels,Production archive still needs full trajectory frame counts and SHA256 checksums
Supp Fig S1,Extended composition,partly supported by systems_master.csv and clean-v1 S1,missing,"Can generate after clean-v1 lock: per receptor, GPCR class, G-family, provenance, ligand/source breakdown"
Supp Fig S2,Full QC distributions,source outputs not yet confirmed in manuscript_figures,missing,"Needs frame counts, PBC flags, RMSD/RMSF, membrane/system sanity outputs"
Supp Fig S3,Portal walkthrough,website exists but no screenshot figure in folder,missing,Capture search/filter/system page/viewer/download/API screenshot panels
Supp Fig S4,Example reuse workflows,no notebook/workflow figure in folder,missing,Could be a notebook/API workflow schematic; avoid biological conclusions
Supp Fig S5,Additional pocket examples,pocket outputs exist; no current softened multi-example figure,optional,Use only if Fig 3 needs broader validation beyond CCR5
Supp Fig S6,Softened mechanism vignettes,"figure_3.png, figure4_gprotein_interface.png, figure5_partner_switching.png exist",reserve/revise,"Highest Paper 2 novelty risk. If used, make descriptive only; otherwise reserve for Paper 2"
Supp Fig S7,Excluded/rerun roadmap,held-back table now exists,missing,Generate from scidata_S2_held_back_systems.csv if desired
Main Table 1,Dataset summary clean v1,tables/scidata_T1_dataset_summary_clean_v1.csv,ready draft,Update only if clean-v1 cohort changes
Main Table 2,Repository/data-record structure,tables/scidata_T2_repository_structure.csv,ready draft,Finalize after archive layout is frozen and DOI repository selected
Main Table 3,System metadata fields/data dictionary,tables/scidata_T3_metadata_dictionary.csv,ready draft,Fill missing GPCRdb ID/state fields if absent from current metadata
Supp Table S1,Full included clean-v1 system list,tables/scidata_S1_included_systems_clean_v1.csv,ready draft,208 rows; update after final QC lock
Supp Table S2,Held-back systems and reasons,tables/scidata_S2_held_back_systems.csv,ready draft,14 rows; verify reasons with final QC/rerun decision
Supp Table S3,File manifest/checksums,tables/scidata_S3_file_manifest_checksum_checklist.csv is only checklist,missing final,Generate true per-file manifest/checksums after archive assembly
Old Table T2,Orthosteric recovery benchmark,tables/T2_recovery_benchmark.csv,revise,Useful for Technical Validation but currently all-222; recompute/filter for clean v1
Old Tables T3/S3/S4/S5,"Partner switching, alpha5, gateway mechanics",existing NAR/mechanistic tables,reserve,Move to Paper 2 or heavily soften in SI only
Validation table T4,Per-system clean-v1 pocket/orthosteric recovery benchmark,tables/scidata_T4_technical_validation_clean_v1.csv,ready draft,Use as source for Fig. 3 and Technical Validation; recompute if clean-v1 changes
Validation summary T4a,Family-level clean-v1 recovery summary,tables/scidata_T4a_recovery_summary_clean_v1.csv,ready draft,Use in Technical Validation text or SI
QC table T5,Metadata-level clean-v1 QC summary,tables/scidata_T5_qc_summary_clean_v1.csv,draft; final audit pending,Replace/extend after frame-count/PBC/stability audit
Supp Table S4,Per-system clean-v1 pocket summary,tables/scidata_S4_per_system_pockets_clean_v1.csv,ready draft,Use as SI if pocket outputs remain in Paper 1
Supp Table S5,Per-system clean-v1 gateway summary,tables/scidata_S5_gateway_per_system_clean_v1.csv,ready draft; mechanism risk,Use only descriptively or reserve for Paper 2
Supp Fig S3 portal/API workflow,"Portal browsing, API layers and archive-first access model",scidata_figures/scidata_suppfigS3_portal_access_workflow_draft.svg,draft generated; screenshot still recommended,"Use as supplement now; replace/pair with real screenshots of search, system page, viewer and download when browser capture is available"
Supp Table S6,Live portal/API endpoint inventory,tables/scidata_S6_portal_api_endpoints.csv,ready draft,Use in Data Records/Usage Notes or SI; generated from deployed OpenAPI schema
Supp Table S7,Website feature and submission-gap checklist,tables/scidata_S7_website_feature_checklist.csv,ready draft,"Use internally and optionally as SI; resolve DOI, reviewer link, manifest/checksum and bulk download gaps"
Supp Table S8,Clean-v1 archive manifest from systems_master metadata,tables/scidata_S8_archive_manifest_clean_v1_from_metadata.csv,draft from metadata; final checksums pending,Generate final SHA256 checksums after repository archive assembly
Supp Table S9,Clean-v1 portal/API/reduced-file manifest,tables/scidata_S9_portal_file_manifest_clean_v1.csv,ready draft; binary checksums pending,Resolve missing Gq_7E9W pockets_gpcrdb and Gi_6D9H contacts if these outputs are expected
Manifest summary T6,"Summary of archive, portal-file and OpenAPI manifest coverage",tables/scidata_T6_manifest_summary.csv,ready draft,Update after final archive checksums and DOI are created
Portal file availability T7,Record-type availability summary for portal files,tables/scidata_T7_portal_file_availability_summary.csv,ready draft,Use to guide missing-file cleanup before submission
OpenAPI snapshot,Versioned snapshot of deployed REST API schema,scidata_figures/api_snapshot/coupledmd_openapi_2026-07-07.json,ready draft,Archive with repository deposit and update date if schema changes
Visualization PBC audit T8,Clean-v1 reduced-trajectory PBC and visualization audit,tables/scidata_T8_viz_pbc_full_audit_clean_v1.csv,ready draft,Use as source for Fig. 4 Technical Validation; distinguish from full production archive QC
Visualization PBC summary T8a,Summary of reduced-trajectory PBC audit metrics,tables/scidata_T8a_viz_pbc_summary_clean_v1.csv,ready draft,Use in Technical Validation text and Fig. 4
Visualization QC flags T8b,Clean-v1 systems with reduced-trajectory warnings or nonstandard reduced frame counts,tables/scidata_T8b_viz_qc_flags_clean_v1.csv,ready draft,Disclose as reduced-trajectory visualization flags
Candidate Fig 5,GPCR community and drug-target landscape,scidata_figures/scidata_figure5_community_landscape.{pdf png}; generate_scidata_extra_figures.py,candidate generated,Promote to main if Fig 1 remains too schematic; emphasizes receptor/family coverage and clean-v1 boundary
Candidate Fig 6,Drug-design pocket atlas from consensus clusters,scidata_figures/scidata_figure6_drug_design_pocket_atlas.{pdf png}; generate_scidata_extra_figures.py,candidate generated,Strong GPCR drug-design figure; keep claims descriptive and proxy-based
Candidate Fig 7,TM-gateway atlas and replicate spread,scidata_figures/scidata_figure7_gateway_atlas.{pdf png}; generate_scidata_extra_figures.py,candidate generated,Use as reuse/technical-validation figure; avoid mechanistic selectivity claims
Candidate Fig 8,G-protein CGN barcode and dynamics annotation,scidata_figures/scidata_figure8_gprotein_barcode.{pdf png}; generate_scidata_extra_figures.py,candidate generated,Shows unique annotation richness; good supplement or replacement for generic QC panel
Candidate Fig 9,Partner-switching reuse vignette,scidata_figures/scidata_figure9_partner_switching_reuse.{pdf png}; generate_scidata_extra_figures.py,candidate generated,High Paper-2 leakage risk; frame strictly as usage-note/reuse workflow
Candidate Fig 10,Portal archive and server coverage,scidata_figures/scidata_figure10_portal_archive_coverage.{pdf png}; generate_scidata_extra_figures.py,candidate generated,Use with Fig 2 or supplement after final archive DOI/checksums are available
Candidate contact sheet,All additional figure candidates,scidata_figures/scidata_extra_figures_contact_sheet.png,candidate generated,Review as a set before deciding main-vs-supplement allocation
