item_id,item_kind,repository_relative_path,role,exists,size_bytes,sha256,language,language_version,software_version,version_authority,schema_version
code_01,code_file,manuscript_figures/scidata_figures/prepare_supplementary_data.py,Supplementary Data package builder and validator,True,42770,a1ef9fbf6557d8cd1ce72709c25acb5770efcd595c2ed899be3bf12c1b568714,Python,3.12.3,,sys.version in the package-build environment,1.0
code_02,code_file,manuscript_figures/scidata_figures/build_figure_inputs.py,Figure-input builder,True,17578,74e213fd0a58f77ed4ff2e26fad32746c9b548ed4c24e1e94de06b3afaf0916c,Python,3.12.3,,sys.version in the package-build environment,1.0
code_03,code_file,manuscript_figures/scidata_figures/build_structural_selection_audit.py,Structural-selection audit builder,True,15009,2db29e1e96bf31b7b2800f7e68f238a46187ab05c350013607353b7fdc061734,Python,3.12.3,,sys.version in the package-build environment,1.0
code_04,code_file,manuscript_figures/scidata_figures/build_core_interface_validation.py,Replica-level technical-validation builder,True,13796,8f59a7cc72843fe2d93fb904d2ee58b5d6cff454f5c1811da79e9e7bb9bc9bb2,Python,3.12.3,,sys.version in the package-build environment,1.0
code_05,code_file,manuscript_figures/scidata_figures/build_replica_qc.py,Replica readiness/QC ledger builder,True,7442,08cc4c4e37ffccb9e13d8a44a5120fba8e6747513a5b4252b110573cd1c2b217,Python,3.12.3,,sys.version in the package-build environment,1.0
code_06,code_file,manuscript_figures/scidata_figures/plotting_scripts/main_figures.py,Main Figure 1-6 plotting script,True,21679,738adaf51f7b73df639f8a1f7790b4e5692a218a7a1c4e458f34b850e242f82a,Python,3.12.3,,sys.version in the package-build environment,1.0
code_07,code_file,manuscript_figures/scidata_figures/plotting_scripts/supplementary_s1_plot.py,Supplementary Figure S1 plotting script,True,3752,686441bdb30a8d4d3463d72217136bf2b2e5a4ce7ebc9365fe0edfc3b73847a9,Python,3.12.3,,sys.version in the package-build environment,1.0
code_08,code_file,manuscript_figures/scidata_figures/plotting_scripts/supplementary_s2_plot.py,Supplementary Figure S2 plotting script,True,14072,74bc908dead334543b6c7b01ebc3eacb470adce816edff5532e696a1dc93bf86,Python,3.12.3,,sys.version in the package-build environment,1.0
code_09,code_file,api/main.py,Current REST API application and routes,True,31792,255efa77b2bbfea0cd5bfb3569c9b6653f49abd1c9b1c7b33a762ef163d6e8e7,Python,3.12.3,,sys.version in the package-build environment,1.0
code_10,code_file,api/accounts.py,API account and authentication support,True,5476,03337e039198454587ea04fcf389c5065ece11e56afc3970edaa75734e991ee4,Python,3.12.3,,sys.version in the package-build environment,1.0
code_11,code_file,api/citation.py,API citation record support,True,2630,8aa53672faf169d64a387ceed8364de60a7a4320e8208fd302e92cd579568a44,Python,3.12.3,,sys.version in the package-build environment,1.0
code_12,code_file,api/db.py,API database support,True,685,9fdc6c810bdd0739f57f5ed74acc15d2bfef4f9af090cb03ff67e54712256eac,Python,3.12.3,,sys.version in the package-build environment,1.0
code_13,code_file,api/rate_limit.py,API rate-limiting support,True,7950,c1c59c04ca5d8a8d00b2c6f28e22bde6bea1b8e11e12582d0286bfd6fd2d8381,Python,3.12.3,,sys.version in the package-build environment,1.0
code_14,code_file,scripts/p2_serialize.py,Derived-record serialization utility,True,24899,0a706e3abd2f932ffb42231ec2a1a6471939502dadbbc7fca2618ac2cfad5065,Python,3.12.3,,sys.version in the package-build environment,1.0
environment_file_01,environment_file,requirements.txt,Python dependency specification,True,149,ba03fee72992e6d61541b4ca52318f30d7eb83c7153a231e394ea5fc6ad3b144,pip requirements,,,repository file content,1.0
environment_file_02,environment_file,frontend/package.json,Frontend package specification,True,784,68b71e9e280959434898a81baee04e95681abc735bc2817b26957a43772cef5d,JSON,,,repository file content,1.0
environment_file_03,environment_file,frontend/package-lock.json,Frontend dependency lock file,True,265373,b2f0ab29efd28d07ff04cb5d29611181d8235650e1edd132b2f7e9853a605833,JSON,,,repository file content,1.0
build_dependency_01,build_dependency,,Current package-build environment dependency,True,,,Python,3.12.3,,runtime/importlib.metadata in the package-build environment; not simulation provenance,1.0
build_dependency_02,build_dependency,,Current package-build environment dependency,True,,,numpy,,1.26.4,runtime/importlib.metadata in the package-build environment; not simulation provenance,1.0
build_dependency_03,build_dependency,,Current package-build environment dependency,True,,,pandas,,2.2.3,runtime/importlib.metadata in the package-build environment; not simulation provenance,1.0
build_dependency_04,build_dependency,,Current package-build environment dependency,True,,,scipy,,1.15.3,runtime/importlib.metadata in the package-build environment; not simulation provenance,1.0
build_dependency_05,build_dependency,,Current package-build environment dependency,True,,,matplotlib,,3.10.1,runtime/importlib.metadata in the package-build environment; not simulation provenance,1.0
build_dependency_06,build_dependency,,Current package-build environment dependency,True,,,MDAnalysis,,2.10.0,runtime/importlib.metadata in the package-build environment; not simulation provenance,1.0
build_dependency_07,build_dependency,,Current package-build environment dependency,True,,,python-docx,,1.2.0,runtime/importlib.metadata in the package-build environment; not simulation provenance,1.0
