system_id,record_type,source_filename,source_parent,source_exists_at_audit,size_bytes_at_audit,release_replicas,replicas_n,length_per_replica_ns,total_sampling_ns,record_scope
G12_7SF7,production_trajectory,traj1.nc,7SF7,True,1698280828,rep1|rep2|rep3,3,500.0,1500.0,source-inventory evidence; not a deposited file-level manifest
G12_7SF7,topology,now.prmtop,7SF7,True,26517578,rep1|rep2|rep3,3,500.0,1500.0,source-inventory evidence; not a deposited file-level manifest
G12_7SF8,production_trajectory,traj1.nc,7SF8,True,1662880828,rep1|rep2|rep3,3,500.0,1500.0,source-inventory evidence; not a deposited file-level manifest
G12_7SF8,topology,now.prmtop,7SF8,True,24711413,rep1|rep2|rep3,3,500.0,1500.0,source-inventory evidence; not a deposited file-level manifest
G12_7T6B,production_trajectory,prod2_now.nc,7T6B,True,23202881056,rep1|rep2|rep3,3,500.0,1500.0,source-inventory evidence; not a deposited file-level manifest
G12_7T6B,topology,now.prmtop,7T6B,True,25915251,rep1|rep2|rep3,3,500.0,1500.0,source-inventory evidence; not a deposited file-level manifest
G12_8IKL,production_trajectory,prod2_now.nc,8IKL,True,22099841056,rep1|rep2|rep3,3,500.0,1500.0,source-inventory evidence; not a deposited file-level manifest
G12_8IKL,topology,now.prmtop,8IKL,True,24714430,rep1|rep2|rep3,3,500.0,1500.0,source-inventory evidence; not a deposited file-level manifest
G12_8KGG,production_trajectory,prod2_now.nc,8KGG,True,22387841056,rep1|rep2|rep3,3,500.0,1500.0,source-inventory evidence; not a deposited file-level manifest
G12_8KGG,topology,now.prmtop,8KGG,True,25109651,rep1|rep2|rep3,3,500.0,1500.0,source-inventory evidence; not a deposited file-level manifest
G12_9IY8,production_trajectory,prod2_now.nc,9IY8,True,23221241056,rep1|rep2|rep3,3,500.0,1500.0,source-inventory evidence; not a deposited file-level manifest
G12_9IY8,topology,now.prmtop,9IY8,True,25899515,rep1|rep2|rep3,3,500.0,1500.0,source-inventory evidence; not a deposited file-level manifest
Gi_6CMO,production_trajectory,prod2_now.nc,6CMO,True,22924961056,rep1|rep2|rep3,3,500.0,1500.0,source-inventory evidence; not a deposited file-level manifest
Gi_6CMO,topology,gpcr_g_ligand.prmtop,6CMO,True,6600701,rep1|rep2|rep3,3,500.0,1500.0,source-inventory evidence; not a deposited file-level manifest
Gi_6D9H,production_trajectory,prod2_now.nc,6D9H,True,22868801056,rep1|rep2|rep3,3,500.0,1500.0,source-inventory evidence; not a deposited file-level manifest
Gi_6D9H,topology,gpcr_g_ligand.prmtop,6D9H,True,6674371,rep1|rep2|rep3,3,500.0,1500.0,source-inventory evidence; not a deposited file-level manifest
Gi_6G79,production_trajectory,prod2_now.nc,6G79,True,23234201056,rep1|rep2|rep3,3,500.0,1500.0,source-inventory evidence; not a deposited file-level manifest
Gi_6G79,topology,gpcr_g_ligand.prmtop,6G79,True,6736767,rep1|rep2|rep3,3,500.0,1500.0,source-inventory evidence; not a deposited file-level manifest
Gi_6K42,production_trajectory,prod2_now.nc,6K42,True,24738281056,rep1|rep2|rep3,3,500.0,1500.0,source-inventory evidence; not a deposited file-level manifest
Gi_6K42,topology,gpcr_g_ligand.prmtop,6K42,True,7218749,rep1|rep2|rep3,3,500.0,1500.0,source-inventory evidence; not a deposited file-level manifest
Gi_6LFO,production_trajectory,prod2_now.nc,6LFO,True,23273441056,rep1|rep2|rep3,3,500.0,1500.0,source-inventory evidence; not a deposited file-level manifest
