record_type,expected_systems,files_present,records_available,records_missing,records_unpopulated,records_not_applicable,total_size_bytes,affected_system_ids,schema_location,availability_semantics,scope_note,schema_version
viz_structure,207,207,207,0,0,0,285941043,,https://www.coupledmd.cn/api/openapi.json,Available means a non-empty current portal structure file is present.,current included-cohort portal/API coverage; not deposited-archive or frozen-manifest coverage,1.0
viz_trajectory,207,207,207,0,0,0,33325156316,,https://www.coupledmd.cn/api/openapi.json,Available means a non-empty current portal visualization trajectory is present.,current included-cohort portal/API coverage; not deposited-archive or frozen-manifest coverage,1.0
api_index,207,207,207,0,0,0,290334,,https://www.coupledmd.cn/api/openapi.json,"Available requires valid JSON, matching system_id, and a metadata object.",current included-cohort portal/API coverage; not deposited-archive or frozen-manifest coverage,1.0
api_pockets,207,207,207,0,0,0,1343649,,https://www.coupledmd.cn/api/openapi.json,Valid JSON requires matching system_id and n_pockets equal to array length; n_pockets=0 is available.,current included-cohort portal/API coverage; not deposited-archive or frozen-manifest coverage,1.0
api_pockets_gpcrdb,207,207,207,0,0,0,2143370,,https://www.coupledmd.cn/api/openapi.json,Valid mapped-pocket JSON requires matching system_id and n_pockets equal to array length; zero pockets is available.,current included-cohort portal/API coverage; not deposited-archive or frozen-manifest coverage,1.0
api_gateways,207,207,207,0,0,0,1667827,,https://www.coupledmd.cn/api/openapi.json,Available requires all seven interfaces and all four metrics in valid JSON.,current included-cohort portal/API coverage; not deposited-archive or frozen-manifest coverage,1.0
api_gprotein,207,207,207,0,0,0,34517925,,https://www.coupledmd.cn/api/openapi.json,Available requires valid JSON with matching system_id.,current included-cohort portal/API coverage; not deposited-archive or frozen-manifest coverage,1.0
api_pocketgrid,207,207,207,0,0,0,1511478402,,https://www.coupledmd.cn/api/openapi.json,Available means a non-empty current API binary pocket-grid file is present.,current included-cohort portal/API coverage; not deposited-archive or frozen-manifest coverage,1.0
chain_roles,207,207,207,0,0,0,87897,,https://www.coupledmd.cn/api/openapi.json,Available requires valid JSON with a roles object.,current included-cohort portal/API coverage; not deposited-archive or frozen-manifest coverage,1.0
contacts,207,207,207,0,0,0,10222029,,https://www.coupledmd.cn/api/openapi.json,Available means a non-empty current server contact-record file is present.,current included-cohort portal/API coverage; not deposited-archive or frozen-manifest coverage,1.0
